"Gene","Non-unique Gene name","Annotation","No. isolates","No. sequences","Avg sequences per isolate","Genome Fragment","Order within Fragment","Accessory Fragment","Accessory Order with Fragment","QC","Min group size nuc","Max group size nuc","Avg group size nuc","Prokka_AMPS04__gff","Prokka_AMPS05__gff","Prokka_AMPS17__gff","Prokka_AMPS22__gff","Prokka_AMPS23__gff","Prokka_AMPS34__gff"
"group_10030","","hypothetical protein","2","2","1","1","8924","1396","2","","185","185","185","","","","HOKMPMND_05209","LGNEOHGC_01708",""
"group_10045","phoB_2","Phosphate regulon transcriptional regulatory protein PhoB","2","2","1","1","12401","1","2696","","704","704","704","","","","HOKMPMND_05395","LGNEOHGC_05284",""
"accB_2","","Biotin carboxyl carrier protein of acetyl-CoA carboxylase","2","2","1","1","12461","1","2689","","440","440","440","","","","HOKMPMND_05423","LGNEOHGC_05259",""
"group_10048","","hypothetical protein","2","2","1","1","12458","1","2690","","425","425","425","","","","HOKMPMND_05425","LGNEOHGC_05256",""
"group_10052","","hypothetical protein","2","2","1","1","12428","1","2792","","197","197","197","","","","HOKMPMND_05446","","ANOIEJPP_06166"
"rhaR_1","","HTH-type transcriptional activator RhaR","2","2","1","1","12252","1","2392","","785","785","785","","","","HOKMPMND_05686","","ANOIEJPP_00341"
"group_10089","","hypothetical protein","2","2","1","1","12240","1","2399","","197","197","197","","","","HOKMPMND_05693","","ANOIEJPP_00333"
"dmoA_1","","Dimethyl-sulfide monooxygenase","2","2","1","1","12069","1","2353","","1397","1397","1397","","","","HOKMPMND_05705","","ANOIEJPP_00322"
"malK_4","","Maltose/maltodextrin import ATP-binding protein MalK","2","2","1","1","5239","869","1","","416","419","417","FAPEHDJO_01445","","","HOKMPMND_00393","",""
"group_10111","glxK","Glycerate 3-kinase","2","2","1","1","12043","1","2485","","1175","1175","1175","","","","HOKMPMND_05770","","ANOIEJPP_00502"
"group_10112","","hypothetical protein","2","2","1","1","12151","1","2488","","716","716","716","","","","HOKMPMND_05773","","ANOIEJPP_00499"
"group_10113","ecfG_1","ECF RNA polymerase sigma factor EcfG","2","2","1","1","12153","1","2490","","542","542","542","","","","HOKMPMND_05775","","ANOIEJPP_00497"
"group_10114","","hypothetical protein","2","2","1","1","12154","1","2491","","1421","1421","1421","","","","HOKMPMND_05776","","ANOIEJPP_00496"
"glpK_2","","Glycerol kinase","2","2","1","1","12039","1","2527","","1502","1502","1502","","","","HOKMPMND_05810","","ANOIEJPP_00462"
"alsC_2","","D-allose transport system permease protein AlsC","2","2","1","1","12038","1","2528","","998","1001","999","","","","HOKMPMND_05811","","ANOIEJPP_00461"
"group_10135","dapH_1","2,3,4,5-tetrahydropyridine-2,6-dicarboxylate N-acetyltransferase","2","2","1","1","12335","1","2612","","719","719","719","","","","HOKMPMND_05861","","ANOIEJPP_00411"
"bdhA_2","","D-beta-hydroxybutyrate dehydrogenase","2","2","1","1","12315","1","2593","","782","782","782","","","","HOKMPMND_05877","","ANOIEJPP_00394"
"racX","","Broad specificity amino-acid racemase RacX","2","2","1","1","4403","1","88","","749","749","749","","","","HOKMPMND_05902","LGNEOHGC_05134",""
"ndhI_2","","NAD(P)H-quinone oxidoreductase subunit I, chloroplastic","2","2","1","1","8165","29","6","","377","377","377","","","","HOKMPMND_05929","","ANOIEJPP_00271"
"group_10156","","hypothetical protein","2","2","1","1","5050","1","1124","","617","617","617","","","","HOKMPMND_06051","","ANOIEJPP_00128"
"traM","","putative transcriptional repressor TraM","2","2","1","1","5051","1","1125","","257","257","257","","","","HOKMPMND_06052","","ANOIEJPP_00129"
"group_10158","traR","putative transcriptional activator protein TraR","2","2","1","1","5052","1","1126","","704","704","704","","","","HOKMPMND_06053","","ANOIEJPP_00130"
"group_10159","","hypothetical protein","2","2","1","1","5054","1","1128","","440","440","440","","","","HOKMPMND_06055","","ANOIEJPP_00132"
"group_10161","","hypothetical protein","2","2","1","1","4980","1","1138","","797","797","797","","","","HOKMPMND_06060","","ANOIEJPP_00137"
"group_10162","","hypothetical protein","2","2","1","1","5119","1","1241","","638","638","638","","","","HOKMPMND_06066","","ANOIEJPP_00142"
"group_10246","","hypothetical protein","2","2","1","1","389","1","606","","233","233","233","","","","HOKMPMND_06206","LGNEOHGC_06064",""
"group_10249","","hypothetical protein","2","2","1","1","329","1","541","","674","674","674","","","","HOKMPMND_06219","LGNEOHGC_06051",""
"group_10258","","hypothetical protein","2","2","1","1","348","1","565","","305","305","305","","","","HOKMPMND_06249","LGNEOHGC_06021",""
"group_10259","tdcB_1","L-threonine dehydratase catabolic TdcB","2","2","1","1","8593","1","3288","","971","971","971","","","","HOKMPMND_06286","","ANOIEJPP_06754"
"group_10475","","hypothetical protein","2","2","1","1","2348","1","114","","440","440","440","","","","HOKMPMND_07175","LGNEOHGC_06170",""
"group_10476","","hypothetical protein","2","2","1","1","2349","1","115","","452","452","452","","","","HOKMPMND_07176","LGNEOHGC_06169",""
"group_1054","ddl","L-arginine-specific L-amino acid ligase","2","2","1","1","4872","1","880","","986","1256","1121","","","","HOKMPMND_05959","","ANOIEJPP_00033"
"group_10558","","hypothetical protein","2","2","1","1","10453","193","5","","467","476","471","","","GAOMCEMF_06117","","LGNEOHGC_01279",""
"group_1061","","hypothetical protein","2","2","1","1","4499","1","1401","","473","1265","869","FAPEHDJO_01582","","","","","ANOIEJPP_00233"
"group_10655","","hypothetical protein","2","2","1","1","3398","106","9","","1094","1106","1100","FAPEHDJO_03279","","","","LGNEOHGC_03569",""
"group_1070","ccpA_5","hypothetical protein","2","2","1","1","12602","1","2226","","209","1016","612","","PECMOLEC_05396","","","","ANOIEJPP_06038"
"group_10840","","hypothetical protein","2","2","1","1","5331","2002","1","","1172","1172","1172","","","","","LGNEOHGC_05466","ANOIEJPP_05532"
"group_10845","degA_2","HTH-type transcriptional regulator DegA","2","2","1","1","5489","1","953","","1142","1148","1145","FAPEHDJO_01168","","","","LGNEOHGC_05824",""
"iolG_3","","Inositol 2-dehydrogenase/D-chiro-inositol 3-dehydrogenase","2","2","1","1","9287","1055","1","","404","404","404","","PECMOLEC_00658","GAOMCEMF_04394","","",""
"group_10998","virB9","Type IV secretion system protein virB9","2","2","1","1","950","930","3","","857","857","857","","","","","LGNEOHGC_06834","ANOIEJPP_06551"
"group_11073","","hypothetical protein","2","2","1","1","5042","1","1122","","605","608","606","","","","HOKMPMND_06049","","ANOIEJPP_00126"
"sir_1","","Sulfite reductase [ferredoxin]","2","2","1","1","9258","449","2","","821","1670","1245","","PECMOLEC_00602","","HOKMPMND_03147","",""
"LhpG_2","","Alpha-ketoglutaric semialdehyde dehydrogenase 3","2","2","1","1","11464","1","1811","","1070","1529","1299","","","GAOMCEMF_01555","","LGNEOHGC_06871",""
"group_11232","","hypothetical protein","2","2","1","1","4023","957","4","","878","881","879","","PECMOLEC_02093","","","","ANOIEJPP_02286"
"qorA_2","","Quinone oxidoreductase 1","2","2","1","1","9912","1174","1","","347","347","347","","PECMOLEC_00707","","","","ANOIEJPP_00928"
"group_11406","ispE","4-diphosphocytidyl-2-C-methyl-D-erythritol kinase","2","2","1","1","10716","113","6","","908","911","909","","PECMOLEC_04329","","","","ANOIEJPP_04515"
"group_1161","pccB_2","Propionyl-CoA carboxylase beta chain","2","2","1","1","9395","362","3","","245","1376","810","","PECMOLEC_00998","","HOKMPMND_02841","",""
"group_1164","","hypothetical protein","2","2","1","1","9473","472","1","","1655","3398","2526","","","GAOMCEMF_04116","","LGNEOHGC_04171",""
"group_11721","tufA_2","Elongation factor Tu","2","2","1","1","6428","1190","1","","608","608","608","","PECMOLEC_05259","","","","ANOIEJPP_05423"
"group_11743","","IS256 family transposase ISAli6","2","2","1","1","2803","1144","1","","1199","1199","1199","","PECMOLEC_02011","","","","ANOIEJPP_02206"
"nadE_2","","Glutamine-dependent NAD(+) synthetase","2","2","1","1","4702","1013","1","","803","1124","963","","PECMOLEC_01126","","","","ANOIEJPP_01261"
"group_11992","","IS110 family transposase ISBmu9","2","2","1","1","1947","363","2","","950","950","950","","PECMOLEC_04743","","","","ANOIEJPP_04914"
"group_1200","","hypothetical protein","2","2","1","1","4082","17","16","","242","404","323","FAPEHDJO_02985","","GAOMCEMF_03821","","",""
"group_1201","","hypothetical protein","2","2","1","1","4080","17","18","","164","404","284","FAPEHDJO_02986","","","","LGNEOHGC_03868",""
"group_1206","","hypothetical protein","2","2","1","1","4164","71","8","","425","728","576","","PECMOLEC_01345","","","","ANOIEJPP_01483"
"group_12080","","IS3 family transposase ISSme1","2","2","1","1","11220","4","67","","266","266","266","","","GAOMCEMF_04669","","LGNEOHGC_00814",""
"group_121","","hypothetical protein","2","2","1","1","3043","262","3","","353","800","576","","","GAOMCEMF_03727","","","ANOIEJPP_01611"
"group_1213","","hypothetical protein","2","2","1","1","3050","89","2","","215","1052","633","FAPEHDJO_03071","","","","LGNEOHGC_03781",""
"group_12249","","Peroxiredoxin","2","2","1","1","391","1","605","","659","659","659","","PECMOLEC_06089","","HOKMPMND_06207","",""
"group_123","","hypothetical protein","2","2","1","1","3152","262","4","","803","803","803","FAPEHDJO_03086","","","","LGNEOHGC_03767",""
"group_1240","","hypothetical protein","2","2","1","1","3540","121","3","","1220","3716","2468","","","GAOMCEMF_03437","","LGNEOHGC_03468",""
"group_1242","","hypothetical protein","2","2","1","1","3543","181","4","","428","1094","761","FAPEHDJO_03378","","","","LGNEOHGC_03464",""
"gcvA_5","","Glycine cleavage system transcriptional activator","2","2","1","1","2989","50","2","","665","878","771","","PECMOLEC_01517","","HOKMPMND_02277","",""
"etfA_5","","Electron transfer flavoprotein subunit alpha","2","2","1","1","2285","27","24","","941","941","941","","PECMOLEC_07026","","","LGNEOHGC_06210",""
"group_1286","","hypothetical protein","2","2","1","1","11558","470","1","","158","488","323","","PECMOLEC_02270","","","","ANOIEJPP_02460"
"group_12860","","hypothetical protein","2","2","1","1","803","1","264","","167","167","167","FAPEHDJO_00005","","GAOMCEMF_00712","","",""
"group_1317","fda_1","Fructose-bisphosphate aldolase class 1","2","2","1","1","7945","416","2","","140","1025","582","","PECMOLEC_02547","GAOMCEMF_02688","","",""
"group_133","","hypothetical protein","2","2","1","1","524","1","2964","","374","1667","1020","","","GAOMCEMF_00190","HOKMPMND_06668","",""
"dacC_2","","D-alanyl-D-alanine carboxypeptidase DacC","2","2","1","1","1249","313","3","","932","1133","1032","FAPEHDJO_04512","","","","LGNEOHGC_02307",""
"group_1362","ssuB_1","hypothetical protein","2","2","1","1","1297","428","1","","281","812","546","","","","HOKMPMND_00858","","ANOIEJPP_03182"
"group_1365","","hypothetical protein","2","2","1","1","1318","138","4","","416","671","543","","PECMOLEC_02989","","","","ANOIEJPP_03201"
"group_1368","","hypothetical protein","2","2","1","1","1114","200","5","","287","950","618","FAPEHDJO_04577","PECMOLEC_02998","","","",""
"group_1372","sucA","2-oxoglutarate dehydrogenase E1 component","2","2","1","1","1335","466","2","","353","3056","1704","","","GAOMCEMF_02256","HOKMPMND_00825","",""
"group_1407","","hypothetical protein","2","2","1","1","7574","16","4","","563","740","651","FAPEHDJO_04983","","","","LGNEOHGC_01837",""
"group_1411","dapE_2","Succinyl-diaminopimelate desuccinylase","2","2","1","1","8982","96","5","","1295","1388","1341","","PECMOLEC_03479","","HOKMPMND_05262","",""
"group_142","","hypothetical protein","2","2","1","1","3843","1107","1","","452","452","452","","PECMOLEC_01944","","","","ANOIEJPP_02137"
"group_145","","hypothetical protein","2","2","1","1","11651","574","1","","1049","1379","1214","FAPEHDJO_03862","","GAOMCEMF_02953","","",""
"group_1454","coaBC","Coenzyme A biosynthesis bifunctional protein CoaBC","2","2","1","1","12967","256","3","","206","1205","705","","","GAOMCEMF_06401","HOKMPMND_05054","",""
"dnaA_2","","Chromosomal replication initiator protein DnaA","2","2","1","1","12943","1323","1","","707","707","707","","PECMOLEC_03761","","HOKMPMND_05034","",""
"group_147","","hypothetical protein","2","2","1","1","11752","1572","1","","488","488","488","","","","HOKMPMND_01498","","ANOIEJPP_02503"
"group_1471","","hypothetical protein","2","2","1","1","12716","421","1","","1646","2453","2049","FAPEHDJO_05458","","","","LGNEOHGC_01371",""
"group_1477","","hypothetical protein","2","2","1","1","12719","153","4","","662","662","662","FAPEHDJO_05475","","","HOKMPMND_04873","",""
"group_1488","","hypothetical protein","2","2","1","1","10478","92","9","","242","461","351","","PECMOLEC_03965","","HOKMPMND_04818","",""
"rbsA_9","","Ribose import ATP-binding protein RbsA","2","2","1","1","10181","454","1","","1337","1559","1448","","","GAOMCEMF_06089","","","ANOIEJPP_04193"
"group_1519","","hypothetical protein","2","2","1","1","10830","1252","1","","755","812","783","","PECMOLEC_04325","","HOKMPMND_04495","",""
"group_1531","smc_3","Chromosome partition protein Smc","2","2","1","1","9072","141","5","","317","3461","1889","","PECMOLEC_04494","","","","ANOIEJPP_04661"
"group_1539","","hypothetical protein","2","2","1","1","8665","74","3","","719","2204","1461","","PECMOLEC_04580","GAOMCEMF_05582","","",""
"group_1566","","hypothetical protein","2","2","1","1","1864","117","2","","227","971","599","","","GAOMCEMF_05414","","LGNEOHGC_00548",""
"group_159","argP_1","HTH-type transcriptional regulator ArgP","2","2","1","1","1403","78","3","","524","1208","866","","","GAOMCEMF_02107","","","ANOIEJPP_03331"
"group_1597","purF_2","Amidophosphoribosyltransferase","2","2","1","1","6147","390","1","","638","1490","1064","","","","","LGNEOHGC_00283","ANOIEJPP_05198"
"group_162","","hypothetical protein","2","2","1","1","1601","78","1","","236","236","236","","PECMOLEC_03130","GAOMCEMF_02105","","",""
"group_1622","","hypothetical protein","2","2","1","1","11087","963","2","","794","794","794","","PECMOLEC_00414","","HOKMPMND_03351","",""
"group_1639","","hypothetical protein","2","2","1","1","10719","1009","1","","551","1739","1145","","","GAOMCEMF_05792","","","ANOIEJPP_04529"
"noc_3","","hypothetical protein","2","2","1","1","12044","1","2483","","611","1052","831","","","","HOKMPMND_05768","","ANOIEJPP_00504"
"group_1658","noc_4","Nucleoid occlusion protein","2","2","1","1","12147","1","2328","","359","1052","705","","PECMOLEC_05615","","","","ANOIEJPP_00505"
"group_1674","melD_1","Melibiose/raffinose/stachyose import permease protein MelD","2","2","1","1","12241","1","2398","","902","902","902","","","","HOKMPMND_05692","","ANOIEJPP_00334"
"araG_1","","Arabinose import ATP-binding protein AraG","2","2","1","1","12061","1","2411","","1028","1484","1256","","PECMOLEC_05781","","","","ANOIEJPP_00324"
"araG_2","","Arabinose import ATP-binding protein AraG","2","2","1","1","12067","1","2412","","455","1484","969","","PECMOLEC_05782","","HOKMPMND_05703","",""
"group_1689","gci_2","D-galactarolactone cycloisomerase","2","2","1","1","4314","1","3061","","1112","1112","1112","","PECMOLEC_05848","GAOMCEMF_01489","","",""
"gci_3","","L-talarate/galactarate dehydratase","2","2","1","1","4312","1","3085","","680","1112","896","","PECMOLEC_06352","","","LGNEOHGC_06937",""
"linX_3","","2,5-dichloro-2,5-cyclohexadiene-1,4-diol dehydrogenase LinX","2","2","1","1","49","1","2893","","188","773","480","","PECMOLEC_06272","","","LGNEOHGC_07020",""
"gsiA_12","","Glutathione import ATP-binding protein GsiA","2","2","1","1","62","1","2120","","974","2093","1533","","","GAOMCEMF_01750","","LGNEOHGC_07012",""
"group_1703","btuD_9","Glutathione import ATP-binding protein GsiA","2","2","1","1","63","1","2121","","1112","2090","1601","","PECMOLEC_06280","GAOMCEMF_01749","","",""
"group_1707","sugA_7","Trehalose transport system permease protein SugA","2","2","1","1","153","1","2096","","851","851","851","","PECMOLEC_06289","GAOMCEMF_01841","","",""
"sugA_4","","Trehalose transport system permease protein SugA","2","2","1","1","148","1","2037","","917","968","942","","","GAOMCEMF_01759","","LGNEOHGC_07003",""
"group_1709","","hypothetical protein","2","2","1","1","149","1","2036","","638","1238","938","","","GAOMCEMF_01760","","LGNEOHGC_07002",""
"group_171","dgdA_1","2,2-dialkylglycine decarboxylase","2","2","1","1","8896","1924","1","","599","1343","971","","","GAOMCEMF_06564","HOKMPMND_05188","",""
"yihU","","3-sulfolactaldehyde reductase","2","2","1","1","135","1","2992","","908","908","908","","","GAOMCEMF_01773","","LGNEOHGC_06988",""
"pucB","","Molybdenum cofactor cytidylyltransferase","2","2","1","1","2368","77","6","","611","611","611","","","","HOKMPMND_06643","","ANOIEJPP_06401"
"hcaB_4","","3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase","2","2","1","1","4914","120","2","","668","812","740","","PECMOLEC_07314","GAOMCEMF_01090","","",""
"group_1723","","hypothetical protein","2","2","1","1","799","1","260","","155","1919","1037","FAPEHDJO_00001","","GAOMCEMF_00708","","",""
"group_1725","","hypothetical protein","2","2","1","1","850","1","201","","1919","1919","1919","","PECMOLEC_05939","","","","ANOIEJPP_06949"
"comM_1","","hypothetical protein","2","2","1","1","13009","419","1","","437","671","554","","","GAOMCEMF_06423","","LGNEOHGC_01550",""
"fusA_2","","Elongation factor G","2","2","1","1","12645","1","2272","","1961","1961","1961","FAPEHDJO_01724","","","","LGNEOHGC_05382",""
"group_181","","hypothetical protein","2","2","1","1","11337","10","17","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","518","872","695","","","","","LGNEOHGC_00757","ANOIEJPP_04745"
"group_1815","ulaR_2","HTH-type transcriptional regulator UlaR","2","2","1","1","7388","97","5","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","362","842","602","","","","HOKMPMND_06779","LGNEOHGC_06572",""
"group_183","rhaS_5","HTH-type transcriptional activator RhaS","2","2","1","1","5866","334","4","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","227","908","567","","PECMOLEC_04809","","","LGNEOHGC_00502",""
"group_1853","","hypothetical protein","2","2","1","1","7028","444","1","","566","1028","797","","PECMOLEC_06828","","","","ANOIEJPP_07219"
"group_1898","","hypothetical protein","2","2","1","1","924","1","136","","320","1013","666","FAPEHDJO_00914","","","HOKMPMND_07167","",""
"group_1907","yajO_8","1-deoxyxylulose-5-phosphate synthase YajO","2","2","1","1","11932","1","2879","","671","1031","851","","PECMOLEC_06258","","HOKMPMND_05518","",""
"tadA_4","","hypothetical protein","2","2","1","1","5798","624","1","","710","926","818","FAPEHDJO_06645","","","","","ANOIEJPP_05278"
"pleC","","Alkaline phosphatase synthesis sensor protein PhoR","2","2","1","1","6500","75","1","","536","1085","810","","PECMOLEC_05320","","","","ANOIEJPP_05482"
"group_193","phoR","hypothetical protein","2","2","1","1","6494","75","5","","536","1031","783","","","","HOKMPMND_03483","","ANOIEJPP_05483"
"group_1953","hutU_2","Urocanate hydratase","2","2","1","1","5501","98","8","","1004","1673","1338","","PECMOLEC_07207","","","","ANOIEJPP_05673"
"agpA_5","","Periplasmic alpha-galactoside-binding protein","2","2","1","1","4939","414","2","","1508","2087","1797","","PECMOLEC_07247","","HOKMPMND_00170","",""
"dctB_2","","C4-dicarboxylate transport sensor protein DctB","2","2","1","1","3776","1080","1","","701","701","701","","PECMOLEC_01890","","","LGNEOHGC_03238",""
"group_1975","","Ferredoxin--NADP reductase","2","2","1","1","6758","33","9","","470","470","470","FAPEHDJO_01289","","","","LGNEOHGC_05706",""
"sasA_14","","Adaptive-response sensory-kinase SasA","2","2","1","1","8457","1","3206","","2171","2765","2468","","PECMOLEC_06016","","","","ANOIEJPP_06842"
"group_20","","hypothetical protein","2","2","1","1","170","1","792","","1316","1316","1316","FAPEHDJO_00077","","","","LGNEOHGC_06111",""
"group_2003","","hypothetical protein","2","2","1","1","2699","1","667","","182","182","182","","PECMOLEC_05987","","","","ANOIEJPP_06885"
"group_2027","","hypothetical protein","2","2","1","1","4761","1","1062","","563","563","563","FAPEHDJO_01670","","","","","ANOIEJPP_00111"
"group_2055","iolE_4","Inosose dehydratase","2","2","1","1","12473","1","2743","","692","953","822","","PECMOLEC_05489","","","","ANOIEJPP_06128"
"group_2062","ntaA_1","Nitrilotriacetate monooxygenase component A","2","2","1","1","12421","1","2796","","230","1373","801","FAPEHDJO_01858","","","","LGNEOHGC_05225",""
"group_2075","","Purine-binding protein","2","2","1","1","12007","1","2667","","152","1127","639","","","","HOKMPMND_05504","","ANOIEJPP_06224"
"group_211","","hypothetical protein","2","2","1","1","7189","21","1","","383","1616","999","","","","HOKMPMND_06935","LGNEOHGC_06405",""
"group_212","","hypothetical protein","2","2","1","1","7193","21","5","","767","767","767","","","GAOMCEMF_00457","","LGNEOHGC_06407",""
"group_2140","ntrC_1","DNA-binding transcriptional regulator NtrC","2","2","1","1","9256","433","2","","542","1451","996","FAPEHDJO_02289","PECMOLEC_00589","","","",""
"group_2143","cysG_1","Siroheme synthase","2","2","1","1","9257","450","2","","788","1436","1112","","PECMOLEC_00600","","","","ANOIEJPP_00823"
"oppF_14","","Oligopeptide transport ATP-binding protein OppF","2","2","1","1","2156","1089","1","","566","971","768","","PECMOLEC_06959","","HOKMPMND_07064","",""
"group_2202","rhlE_2","hypothetical protein","2","2","1","1","9403","460","2","","185","1511","848","","","GAOMCEMF_04111","","LGNEOHGC_04166",""
"group_2211","alaS_1","Alanine--tRNA ligase","2","2","1","1","4625","224","3","","1955","2654","2304","","","GAOMCEMF_04067","HOKMPMND_02761","",""
"group_2261","yibH","Inner membrane protein YibH","2","2","1","1","5675","19","14","","713","1106","909","FAPEHDJO_02897","","GAOMCEMF_03846","","",""
"aaeA","","p-hydroxybenzoic acid efflux pump subunit AaeA","2","2","1","1","5674","19","16","","452","1106","779","","","GAOMCEMF_03847","","LGNEOHGC_03894",""
"futA2","","Iron uptake protein A2","2","2","1","1","6785","333","4","","341","653","497","","","GAOMCEMF_01084","HOKMPMND_00249","",""
"idiA","","hypothetical protein","2","2","1","1","4911","333","3","","341","1022","681","","","","HOKMPMND_00248","","ANOIEJPP_05775"
"bepE_1","","Efflux pump membrane transporter BepE","2","2","1","1","3555","295","4","","800","3155","1977","","PECMOLEC_01716","","","","ANOIEJPP_01907"
"ligA_1","","DNA ligase","2","2","1","1","3586","923","2","","455","455","455","","PECMOLEC_01743","","","","ANOIEJPP_01935"
"group_2367","","IS3 family transposase ISRle4","2","2","1","1","2566","3","30","","872","929","900","FAPEHDJO_03507","","","","","ANOIEJPP_05876"
"dnaG_2","","DNA primase","2","2","1","1","3755","392","2","","1097","2009","1553","","","","HOKMPMND_01920","","ANOIEJPP_02063"
"group_2395","oppA","Periplasmic oligopeptide-binding protein","2","2","1","1","3922","357","1","","665","1580","1122","","","GAOMCEMF_03143","","","ANOIEJPP_02213"
"group_24","imuB_3","Protein ImuB","2","2","1","1","5078","1","1188","","1022","1418","1220","","","","HOKMPMND_06107","LGNEOHGC_07119",""
"group_2428","macA","Macrolide export protein MacA","2","2","1","1","11666","401","1","","212","1190","701","FAPEHDJO_03873","","","","","ANOIEJPP_02426"
"group_2437","mdtA_6","Efflux pump periplasmic linker BepF","2","2","1","1","11729","146","3","","608","1190","899","","","","HOKMPMND_01516","","ANOIEJPP_02482"
"group_2463","ttgB_2","putative efflux pump membrane transporter TtgB","2","2","1","1","8055","386","2","","1301","3110","2205","","","","HOKMPMND_01349","","ANOIEJPP_02644"
"tktA_1","","Transketolase 1","2","2","1","1","7954","413","1","","554","1973","1263","","PECMOLEC_02540","","","","ANOIEJPP_02736"
"group_250","","hypothetical protein","2","2","1","1","11070","424","2","","203","827","515","","PECMOLEC_00454","","","","ANOIEJPP_00697"
"argF_1","","Ornithine carbamoyltransferase, anabolic","2","2","1","1","7828","124","6","","404","869","636","FAPEHDJO_04243","","","","LGNEOHGC_02563",""
"group_2550","clpB_1","Chaperone protein ClpB","2","2","1","1","2570","187","1","","1022","2600","1811","FAPEHDJO_04416","","","","","ANOIEJPP_03041"
"group_2585","sdhB","hypothetical protein","2","2","1","1","1108","365","3","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","224","779","501","","","","HOKMPMND_00817","LGNEOHGC_02228",""
"group_259","gpr_2","hypothetical protein","2","2","1","1","10049","1940","1","","305","440","372","","","GAOMCEMF_04445","HOKMPMND_03157","",""
"dppA_1","","Glutathione-binding protein GsiB","2","2","1","1","1616","451","2","","1013","1508","1260","","PECMOLEC_03114","","HOKMPMND_00704","",""
"group_2638","fzlC_1","FtsZ-localized protein C","2","2","1","1","1420","303","2","","857","1616","1236","FAPEHDJO_04825","","GAOMCEMF_01986","","",""
"group_2654","regB","Sensor histidine kinase RegB","2","2","1","1","7499","150","1","","1043","1328","1185","","PECMOLEC_03339","GAOMCEMF_01906","","",""
"group_270","","hypothetical protein","2","2","1","1","3631","373","3","","299","797","548","FAPEHDJO_03444","","","","","ANOIEJPP_01971"
"group_2714","","hypothetical protein","2","2","1","1","8803","368","2","Hypothetical protein with no hits to refseq/uniprot/clusters/cdd/tigrfams/pfam overlapping another protein with hits","464","464","464","FAPEHDJO_05211","","","","LGNEOHGC_01618",""
"group_2726","","hypothetical protein","2","2","1","1","12977","148","1","","2702","3545","3123","","","GAOMCEMF_06411","HOKMPMND_05064","",""
"group_276","","hypothetical protein","2","2","1","1","11589","439","2","","344","1424","884","FAPEHDJO_03805","","","","","ANOIEJPP_02358"
"group_279","","hypothetical protein","2","2","1","1","11553","431","1","","278","2108","1193","","","","HOKMPMND_01494","","ANOIEJPP_02507"
"group_2827","","putative signaling protein","2","2","1","1","10850","422","2","","797","1364","1080","FAPEHDJO_05876","","","HOKMPMND_04514","",""
"wzc","","Tyrosine-protein kinase wzc","2","2","1","1","11547","374","2","","470","1106","788","","PECMOLEC_02341","GAOMCEMF_02840","","",""
"imuA","","hypothetical protein","2","2","1","1","5079","1","1201","","752","752","752","","","","HOKMPMND_06106","LGNEOHGC_07118",""
"group_2903","","hypothetical protein","2","2","1","1","1956","40","6","","233","1211","722","","","","HOKMPMND_04088","","ANOIEJPP_04908"
"group_2926","","hypothetical protein","2","2","1","1","5921","62","6","","665","1166","915","","","","HOKMPMND_03988","","ANOIEJPP_05001"
"group_295","glgX_2","Glycogen debranching enzyme","2","2","1","1","7806","603","1","","992","1058","1025","FAPEHDJO_04258","PECMOLEC_02660","","","",""
"group_297","","hypothetical protein","2","2","1","1","7724","1413","1","","317","602","459","","","","HOKMPMND_01108","","ANOIEJPP_02892"
"group_2973","purM","Phosphoribosylformylglycinamidine cyclo-ligase","2","2","1","1","5802","437","2","","950","1073","1011","","PECMOLEC_05090","","HOKMPMND_03730","",""
"melD_10","","Melibiose/raffinose/stachyose import permease protein MelD","2","2","1","1","5785","469","2","","305","893","599","","PECMOLEC_05154","","HOKMPMND_03660","",""
"group_299","gph_1","Phosphoglycolate phosphatase","2","2","1","1","2594","1678","1","","281","338","309","","","","HOKMPMND_01050","","ANOIEJPP_02953"
"proS_1","","Proline--tRNA ligase","2","2","1","1","5775","1959","1","","539","539","539","","","GAOMCEMF_04963","","","ANOIEJPP_05384"
"group_300","","hypothetical protein","2","2","1","1","1262","58","10","","251","275","263","","PECMOLEC_02939","","","","ANOIEJPP_03150"
"dnaE1_2","","DNA polymerase III subunit alpha","2","2","1","1","6369","81","4","","590","3497","2043","","PECMOLEC_05224","","HOKMPMND_03581","",""
"pleD_2","","Response regulator PleD","2","2","1","1","6380","1249","1","","497","497","497","","PECMOLEC_05232","","","","ANOIEJPP_05396"
"accA1_1","","Acetyl-/propionyl-coenzyme A carboxylase alpha chain","2","2","1","1","8184","1","1425","","638","1478","1058","","PECMOLEC_00071","","","","ANOIEJPP_00185"
"group_3016","","hypothetical protein","2","2","1","1","8549","1","2900","","662","662","662","","","GAOMCEMF_01718","","LGNEOHGC_07041",""
"ntcA_2","","Global nitrogen regulator","2","2","1","1","8550","1","2898","","554","566","560","","","GAOMCEMF_01717","","LGNEOHGC_07042",""
